Headlines,Author_Dates,Summaries,Author,Date
PM Modi urges use of earthen pitchers over single-use plastic bottles for drinking water,"PTI - 9 September, 2020",The prime minister was virtually interacting with the beneficiaries of PM Street Vendors' Aatmanirbhar Nidhi scheme from MP when he pitched for the eco-friendly measure.,PTI ," 9 September, 2020"
Former J&K CM Omar Abdullah to vacate govt accommodation by October on ‘own accord’,"PTI - 9 September, 2020",Abdullah said he has never held on to any government property that he was not entitled to and has no intention to start now.,PTI ," 9 September, 2020"
PM Modi urges use of earthen pitchers over single-use plastic bottles for drinking water,"PTI - 9 September, 2020",The prime minister was virtually interacting with the beneficiaries of PM Street Vendors' Aatmanirbhar Nidhi scheme from MP when he pitched for the eco-friendly measure.,PTI ," 9 September, 2020"
Former J&K CM Omar Abdullah to vacate govt accommodation by October on ‘own accord’,"PTI - 9 September, 2020",Abdullah said he has never held on to any government property that he was not entitled to and has no intention to start now.,PTI ," 9 September, 2020"
"CBI recommends action against 4 IAS, IPS officers citing lapses in handling Unnao rape case","PTI - 9 September, 2020","The agency has not sought any disciplinary action instead highlighted the lapses under these officers and left it on the UP govt to take 'appropriate action', officials said.",PTI ," 9 September, 2020"
BMC begins demolishing ‘illegal alterations’ at Kangana Ranaut’s bungalow,"PTI - 9 September, 2020","Trouble mounted for Kangana as the Maharashtra govt said police will probe into allegations that she took drugs, while alterations made at her bungalow came under BMC scanner.",PTI ," 9 September, 2020"
"India registers 89,706 fresh Covid cases in a day, total crosses 43 lakh","PTI - 9 September, 2020","While 33,98,844 people recovered from the virus, India's death toll rose to 73,890 with 1,115 people succumbing to the disease in a span of 24 hours.",PTI ," 9 September, 2020"
French Defence Minister Florence Parly to attend Rafale induction ceremony in Ambala,"PTI - 9 September, 2020","Five Rafale fighter jets, that arrived in India on 29 July, will be formally inducted into the IAF Thursday. A second batch of four to five jets is likely to arrive by November.",PTI ," 9 September, 2020"
Bihar politicians could get to spend more as EC plans to hike poll expense limit by 10-15%,"Sanya Dhingra - 9 September, 2020","EC's raised limit will apply to all elections during Covid, including MP bypolls. As of now, limit for each candidate is Rs 50-70 lakh for Lok Sabha polls and Rs 20-28 lakh for assembly polls.",Sanya Dhingra ," 9 September, 2020"
Modi govt wants farmers to pay for groundwater but puts onus on states to get them to do it,"Moushumi Das Gupta - 9 September, 2020","In draft guidelines to regulate groundwater, Modi govt has advised states to bring in suitable water pricing policy and review free or subsidised electricity to agriculture sector.",Moushumi Das Gupta ," 9 September, 2020"
"Minor tribal sisters gang raped in West Bengal, both consume poison, one dies","PTI - 9 September, 2020","The sisters, aged 16 and 14, had gone out with some youths on 4 September and went missing for two days, the family said. They also said the two consumed poison after coming back home.",PTI ," 9 September, 2020"
"Shorter classes, fewer students, no public transport — what going back to school will be like","Kritika Sharma - 9 September, 2020",The Centre has allowed schools to reopen campuses after 21 September under Unlock 4. Some schools have come up with strategies while others are waiting for state guidelines.,Kritika Sharma ," 9 September, 2020"
BMC serves notice to Kangana Ranaut for ‘illegal alterations’ in her Mumbai bungalow,"PTI - 8 September, 2020","The notice pointed out over a dozen alterations, like a 'toilet being converted into office cabin' & 'new toilets being constructed alongside the staircase', an official said.",PTI ," 8 September, 2020"
ED questions Deepak Kochhar over ‘new evidence’ of money trail in 6 ICICI loans to Videocon,"Ananya Bhardwaj - 8 September, 2020","Deepak Kochhar was arrested late Monday. He is being questioned in Mumbai but has been ‘evasive’, says ED. His counsel calls the arrest ‘illegal’.",Ananya Bhardwaj ," 8 September, 2020"
Kannada actress Sanjjanaa Galrani arrested in Sandalwood drug case,"PTI - 8 September, 2020",Galrani's arrest comes after another Kannada actress Ragini Dwivedi was arrested on 4 September for supplying drugs to people at high-end parties in Bengaluru.,PTI ," 8 September, 2020"
"India’s Covid tally rises to 42.8 lakh with over 75,000 cases registered in last 24 hours","PTI - 8 September, 2020","According to the health ministry data, there are 8,83,697 active cases of coronavirus infection in the country which comprises 20.65 per cent of the total caseload.",PTI ," 8 September, 2020"
"Mumbai police file FIR against Sushant’s sisters, doctor after Rhea Chakraborty’s complaint","PTI - 8 September, 2020","The case was registered after Rhea Chakraborty claimed that two sisters of the late actor and a Delhi-based doctor had prescribed him drugs without consultation, an official said.",PTI ," 8 September, 2020"
"Meeting with all political parties soon to discuss J&K delimitation, EC Sushil Chandra says","Sanya Dhingra - 8 September, 2020","Election Commissioner Sushil Chandra says Delimitation Commission is close to making a broad framework for J&K, delimitation will be completed by March 2021.",Sanya Dhingra ," 8 September, 2020"
ED fines Standard Chartered record Rs 100 cr for breaking forex rules in Tamilnad bank deal,"Suvashree Ghosh - 8 September, 2020",An eight-year probe found that Standard Chartered violated the forex law when it worked with a group of investors to buy a stake in Tamilnad Mercantile Bank in 2007.,Suvashree Ghosh ," 8 September, 2020"
"Change in defection law, alternate govt could be key to One Nation One Poll, EC Chandra says","Sanya Dhingra - 8 September, 2020","Election Commissioner Sushil Chandra tells ThePrint One Nation One Poll is a ‘desirable idea’, but political consensus for it is crucial since it would require constitutional amendments.",Sanya Dhingra ," 8 September, 2020"
How to separate milk & chicken — MP’s BJP govt comes up with 5-step rule for the sensitive,"Milind Ghatwai - 8 September, 2020","When in opposition in MP last year, BJP had objected to meat & cow’s milk being sold from the same state-run booth on religious grounds.",Milind Ghatwai ," 8 September, 2020"
New tension at Pangong as China accuses Indian Army of firing warning shots at its troops,"Bloomberg News - 8 September, 2020","Indian soldiers crossed LAC on southern bank of Pangong lake & fired warning shots against patrolling Chinese forces, a PLA spokesperson alleged.",Bloomberg News ," 8 September, 2020"
How booking 9 cricketers under anti-terror law has left Shopian playground empty on Sundays,"Azaan Javaid - 8 September, 2020",J&K Police booked and later arrested 9 youths under UAPA for being part of a cricket match organised in the memory of a slain militant from Nazneenpora.,Azaan Javaid ," 8 September, 2020"
"After Maharashtra CM Uddhav Thackeray, Sharad Pawar & Anil Deshmukh receive threats","PTI - 7 September, 2020","Security was scaled up at Thackeray's private residence Sunday after an unidentified person, claiming to be an aide of Dawood Ibrahim, threatened to blow up the building.",PTI ," 7 September, 2020"
"Fortunate to serve as cop & doctor, says Assam’s Barpeta SP praised by V-P Venkaiah Naidu","Karishma Hasnat - 7 September, 2020","Barpeta SP Robin Kumar runs a 50-bedded Covid Care Centre for police personnel and their families. It has four beds in ICU, 32 beds in general ward and 14 in the isolation ward.",Karishma Hasnat ," 7 September, 2020"
ED arrests ex-ICICI bank chief Chanda Kochhar’s husband Deepak in money laundering case,"PTI - 7 September, 2020",The couple are being probed in a case of alleged irregularities & money laundering after ICICI bank loans given to Videocon group while Chanda Kochhar was CEO came under ED scanner.,PTI ," 7 September, 2020"
"Arrested Babbar Khalsa men were planning targeted murders, sponsored by ISI, say police","Ananya Bhardwaj - 7 September, 2020","Bhupinder and Kulwant Singh, who hail from Ludhiana, were arrested by Delhi Police Saturday after a gunfight. Police recovered a cache of arms, including 7 pistols and 45 cartridges.",Ananya Bhardwaj ," 7 September, 2020"
"Social distancing goes for a toss at Maharashtra assembly as MLAs, staffers crowd at gate","Manasi Phadke - 7 September, 2020","At least, 45 government employees, police personnel and seven MLAs tested positive ahead of the two-day monsoon assembly session.",Manasi Phadke ," 7 September, 2020"
UK judge rejects plea seeking partial reporting ban on Nirav Modi extradition trial,"PTI - 7 September, 2020","Modi's advocate filed the plea with reference to a BJP press conference held in May, giving 'unfair commentary' on evidence given by ex-Indian High Court Judge Abhay Thipsay.",PTI ," 7 September, 2020"
Delhi Assembly to convene special one-day session on 14 September with no question hour,"PTI - 7 September, 2020","All employees of the Assembly will be tested for Covid in next few days. A testing van will be deployed at the Assembly premises for testing of employees, said a senior officer.",PTI ," 7 September, 2020"
Delhi HC asks DU to issue digital degrees within next 7 days to those who urgently need it,"PTI - 7 September, 2020","Delhi HC had earlier passed an order to put in place a proper procedure for issuance of degrees online, and was unhappy that its order hadn't been followed.",PTI ," 7 September, 2020"
"Rhea Chakraborty files complaint against Sushant Singh Rajput’s sister, doctor for forgery","PTI - 7 September, 2020",Chakraborty asked for Priyanka Singh and Dr Tarun Kumar to be booked under relevant sections of the IPC for forging fake prescriptions of anxiety medication.,PTI ," 7 September, 2020"
"At 96.2%, Kerala tops India’s literacy rate chart again, Andhra ranks last at 66.4%","PTI - 7 September, 2020","According to a July 2017 to June 2018 study by the National Statistical Office, the male literacy rate (84.7%) is higher than females (70.3%) in India.",PTI ," 7 September, 2020"
"‘Glad it’s back!’ — Passengers thrilled at Delhi Metro running again, but few takers for now","Taran Deol - 7 September, 2020","The usually bustling metro had about 7,500 passengers use the service Monday morning. Only the yellow line has opened as DMRC resumes metro operations in a phased manner.",Taran Deol ," 7 September, 2020"
Kangana Ranaut alleges BMC has ‘forcefully taken over’ her Mumbai office to ‘destroy it’,"PTI - 7 September, 2020",Actor Kangana Ranaut's remark comparing Mumbai to Pakistan- occupied Kashmir (PoK) has drawn ire of the ruling Shiv Sena whose leaders are targeting the BJP for defending her.,PTI ," 7 September, 2020"
NIA summons Varavara Rao’s sons-in-law as witnesses in Elgar Parishad case,"PTI - 7 September, 2020","The two sons-in-law, a professor and a journalist respectively, of Telegu poet Varavara Rao have categorically denied any connection to the case.",PTI ," 7 September, 2020"
Robbers who murdered Suresh Raina’s relatives broke into 2 nearby places the same night,"Chitleen K Sethi - 7 September, 2020","Punjab Police have lodged FIR and teams are working round the clock to catch culprits, including in other states. But no arrests have been made so far.",Chitleen K Sethi ," 7 September, 2020"
More dislikes than likes for Modi live streams — what stats show and how BJP sees it,"Regina Mihindukulasuriya - 7 September, 2020",The live stream videos on PM Modi’s official YouTube channel seem to be facing a new response trend — dislikes dominating likes.,Regina Mihindukulasuriya ," 7 September, 2020"
"NEP is country’s policy, not of govt, will shape vision of Atmanirbhar Bharat, PM Modi says","Kritika Sharma - 7 September, 2020","PM Modi once again pressed for effective implementation of the NEP, saying his government took into account all stakeholders while formulating it.",Kritika Sharma ," 7 September, 2020"
2 Babbar Khalsa members arrested by Delhi Police after shootout,"PTI - 7 September, 2020",The accused were identified as Dilawar Singh and Kulwant Singh of Ludhiana. Delhi Police added the duo was also wanted in some cases in Punjab.,PTI ," 7 September, 2020"
Centre extends Y-plus category security to Kangana Ranaut,"PTI - 7 September, 2020",The decision was taken in view of renewed threat to the actor after she spoke about drug use in the film industry following Sushant Singh Rajput's death.,PTI ," 7 September, 2020"
Two dead in building collapse due to heavy rains in Tamil Nadu’s Coimbatore,"PTI - 7 September, 2020","The single-storey building on Chettiveedhi suddenly came down Sunday night and 8 persons, including 2 in the ground floor were trapped in the debris around 10.30 pm.",PTI ," 7 September, 2020"
"Uttarakhand BJP MLA Mahesh Negi booked for ‘rape’, says it’s conspiracy to defame him","PTI - 7 September, 2020",A woman has accused the Dwarahat MLA of raping her and fathering her daughter. She has also demanded a DNA test be conducted if agencies doubted the veracity of her charge.,PTI ," 7 September, 2020"
"Non-personal data rules draft has ‘grey areas’, data privacy bill architect BN Srikrishna says","Regina Mihindukulasuriya - 7 September, 2020",Non-Personal Data Governance Framework has been devised by an expert committee led by Infosys co-founder Kris Gopalakrishnan. It's currently open for feedback.,Regina Mihindukulasuriya ," 7 September, 2020"
"India registers over 90,000 Covid cases, 1,016 fatalities in last 24 hours","PTI - 7 September, 2020","According to the health ministry data, the total number of coronavirus cases crossed 42 lakh mark while the death toll reached 71,642.",PTI ," 7 September, 2020"
"Delhi Metro resumes services after 169 days with strict safety measures, new timings","PTI - 7 September, 2020",DMRC restarted services in Yellow line with cutailed operations.The trains will operate in batches of four-hour each from 7-11 am in the morning and 4-8 pm in the evening.,PTI ," 7 September, 2020"
‘Irregularities’ in lateral entry of 3 joint secretaries — hiring row hits UPSC & DoPT,"Sanya Dhingra - 7 September, 2020",CAT has asked UPSC to respond to petition alleging irregularities in the appointment of three professionals as joint secretaries through lateral entry.,Sanya Dhingra ," 7 September, 2020"
"‘Gang raped by boyfriend, others’, 14-yr-old Manipur girl dies after ‘elopement’ goes wrong","Angana Chakrabarti - 7 September, 2020",A 14-year-old girl died after she was found 'unconscious' near a pond in Manipur's Mayang Imphal area. The incident led to violent clashes among residents of two villages.,Angana Chakrabarti ," 7 September, 2020"
"Full refund for domestic and international tickets booked during lockdown, DGCA tells SC","Bhadra Sinha - 7 September, 2020","Passengers will be refunded in full for tickets bought between 25 March and 3 May, domestic carriers given the option of offering a credit shell.",Bhadra Sinha ," 7 September, 2020"
"North-East Delhi riots part of well hatched conspiracy, says court","PTI - 6 September, 2020",Chief Metropolitan Magistrate Purushottam Pathak made the observation while taking cognisance of chargesheet filed by Delhi Police against 17 accused in murder of Head Constable Ratan Lal.,PTI ," 6 September, 2020"
Rhea Chakraborty questioned for 6 hrs as NCB probes drugs link to Sushant Singh Rajput death,"PTI - 6 September, 2020","The NCB said it wanted to confront Rhea, her brother Showik, Rajput's house manager Samuel Miranda & staffer Dipesh Sawant to ascertain their roles in an alleged drug racket.",PTI ," 6 September, 2020"
"A JEE hopeful’s exam day amid pandemic — fear, anxiety, nausea and lots of sanitiser","Revathi Krishnan - 6 September, 2020","Ghaziabad’s Vineet Shukla has wanted to get to IIT since he was 16, but was disappointed the Supreme Court didn’t entertain students’ pleas to postpone JEE.",Revathi Krishnan ," 6 September, 2020"
"Even ‘Dr Kafeel Mishra’ or ‘Dr Kafeel Kumar’ would have done the same thing, Kafeel Khan says","Apoorva Mandhani - 6 September, 2020","'They made me naked, made me lie down, used batons and sticks to hit me… I couldn’t sit for so many days,' Dr Kafeel Khan tells ThePrint days after release from jail.",Apoorva Mandhani ," 6 September, 2020"
"‘No connection with Ragini Dwivedi’, BJP says after arrest of actor who campaigned for party","Rohini Swamy - 6 September, 2020","Ragini Dwivedi, who was arrested by the Karnataka Police for her alleged involvement in a drug racket, had campaigned for BJP during 2019 December bypolls.",Rohini Swamy ," 6 September, 2020"
Pakistan summons senior Indian diplomat over alleged ceasefire violations,"PTI - 6 September, 2020","Due to 'indiscriminate and unprovoked firing' in the Rakhchikri Sector of the LoC Saturday, one civilian sustained serious injuries, the Foreign Office statement said.",PTI ," 6 September, 2020"
Congress’ Rajya Sabha MP Deepender Singh Hooda tests positive for Covid-19,"PTI - 6 September, 2020","Deepender, son of former Haryana CM Bhupinder Singh Hooda, recently toured the Baroda assembly constituency in Sonipat district for the upcoming bypolls.",PTI ," 6 September, 2020"
"Kolkata professor says NIA trying to harass him, no connection with Bhima Koregaon case","PTI - 6 September, 2020",IISER-Kolkata professor Partho Sarathi Ray said he has never visited the Bhima Koregaon memorial in Pune. The NIA has asked Ray to appear at its Mumbai office on 10 September.,PTI ," 6 September, 2020"
‘I run in shorts’ — Congress’ Kavitha Reddy says didn’t shame actor Samyuktha over sports bra,"Fatima Khan - 6 September, 2020","After actor Samyuktha Hegde alleged that Kavitha Reddy abused her for exercising in a public park in Bengaluru wearing a sports bra, the Congress leader has denied the charges.",Fatima Khan ," 6 September, 2020"
"Andhra villages see big drop in dengue, malaria, typhoid cases after pilot sanitation drive","Rishika Sadam - 6 September, 2020","Andhra govt data shows cases of seasonal diseases like dengue, typhoid, acute diarrhoea & malaria fell 97.4%, 96%, 81.7% and 50.4%, respectively, after the sanitation drive.",Rishika Sadam ," 6 September, 2020"
"Caught between Covid & hunger, women at Imphal ‘mother’s market’ are struggling to survive","Angana Chakrabarti - 6 September, 2020","The iconic mother’s market has been shut since lockdown. Though the govt promised loans to the vendors, they say only 100 of the over 4,000 traders got the loans so far.",Angana Chakrabarti ," 6 September, 2020"
"Kesavananda Bharati, seer behind 1973 SC judgment on ‘basic structure’ of Constitution, dies","Bhadra Sinha - 6 September, 2020","In 1973, after a petition was filed by Kesavananda Bharati, Supreme Court ruled that Parliament cannot alter the 'basic structure' of the Constitution.",Bhadra Sinha ," 6 September, 2020"
4 ‘Bad Boy Billionaires’ & where to find them — What Netflix’s controversial show reveals,"Apoorva Mandhani - 6 September, 2020","The Netflix show, that was due to air 2 September, has been stayed after cases filed by different parties have tried to de-label some of these billionaires as bad boys.",Apoorva Mandhani ," 6 September, 2020"
"‘Gang raped by boyfriend, others’, 14-yr-old Manipur girl dies after ‘elopement’ goes wrong","Angana Chakrabarti - 7 September, 2020",A 14-year-old girl died after she was found 'unconscious' near a pond in Manipur's Mayang Imphal area. The incident led to violent clashes among residents of two villages.,Angana Chakrabarti ," 7 September, 2020"
"Full refund for domestic and international tickets booked during lockdown, DGCA tells SC","Bhadra Sinha - 7 September, 2020","Passengers will be refunded in full for tickets bought between 25 March and 3 May, domestic carriers given the option of offering a credit shell.",Bhadra Sinha ," 7 September, 2020"
"North-East Delhi riots part of well hatched conspiracy, says court","PTI - 6 September, 2020",Chief Metropolitan Magistrate Purushottam Pathak made the observation while taking cognisance of chargesheet filed by Delhi Police against 17 accused in murder of Head Constable Ratan Lal.,PTI ," 6 September, 2020"
Rhea Chakraborty questioned for 6 hrs as NCB probes drugs link to Sushant Singh Rajput death,"PTI - 6 September, 2020","The NCB said it wanted to confront Rhea, her brother Showik, Rajput's house manager Samuel Miranda & staffer Dipesh Sawant to ascertain their roles in an alleged drug racket.",PTI ," 6 September, 2020"
"A JEE hopeful’s exam day amid pandemic — fear, anxiety, nausea and lots of sanitiser","Revathi Krishnan - 6 September, 2020","Ghaziabad’s Vineet Shukla has wanted to get to IIT since he was 16, but was disappointed the Supreme Court didn’t entertain students’ pleas to postpone JEE.",Revathi Krishnan ," 6 September, 2020"
"Even ‘Dr Kafeel Mishra’ or ‘Dr Kafeel Kumar’ would have done the same thing, Kafeel Khan says","Apoorva Mandhani - 6 September, 2020","'They made me naked, made me lie down, used batons and sticks to hit me… I couldn’t sit for so many days,' Dr Kafeel Khan tells ThePrint days after release from jail.",Apoorva Mandhani ," 6 September, 2020"
"‘No connection with Ragini Dwivedi’, BJP says after arrest of actor who campaigned for party","Rohini Swamy - 6 September, 2020","Ragini Dwivedi, who was arrested by the Karnataka Police for her alleged involvement in a drug racket, had campaigned for BJP during 2019 December bypolls.",Rohini Swamy ," 6 September, 2020"
Pakistan summons senior Indian diplomat over alleged ceasefire violations,"PTI - 6 September, 2020","Due to 'indiscriminate and unprovoked firing' in the Rakhchikri Sector of the LoC Saturday, one civilian sustained serious injuries, the Foreign Office statement said.",PTI ," 6 September, 2020"
Congress’ Rajya Sabha MP Deepender Singh Hooda tests positive for Covid-19,"PTI - 6 September, 2020","Deepender, son of former Haryana CM Bhupinder Singh Hooda, recently toured the Baroda assembly constituency in Sonipat district for the upcoming bypolls.",PTI ," 6 September, 2020"
"Kolkata professor says NIA trying to harass him, no connection with Bhima Koregaon case","PTI - 6 September, 2020",IISER-Kolkata professor Partho Sarathi Ray said he has never visited the Bhima Koregaon memorial in Pune. The NIA has asked Ray to appear at its Mumbai office on 10 September.,PTI ," 6 September, 2020"
‘I run in shorts’ — Congress’ Kavitha Reddy says didn’t shame actor Samyuktha over sports bra,"Fatima Khan - 6 September, 2020","After actor Samyuktha Hegde alleged that Kavitha Reddy abused her for exercising in a public park in Bengaluru wearing a sports bra, the Congress leader has denied the charges.",Fatima Khan ," 6 September, 2020"
"Andhra villages see big drop in dengue, malaria, typhoid cases after pilot sanitation drive","Rishika Sadam - 6 September, 2020","Andhra govt data shows cases of seasonal diseases like dengue, typhoid, acute diarrhoea & malaria fell 97.4%, 96%, 81.7% and 50.4%, respectively, after the sanitation drive.",Rishika Sadam ," 6 September, 2020"
"Caught between Covid & hunger, women at Imphal ‘mother’s market’ are struggling to survive","Angana Chakrabarti - 6 September, 2020","The iconic mother’s market has been shut since lockdown. Though the govt promised loans to the vendors, they say only 100 of the over 4,000 traders got the loans so far.",Angana Chakrabarti ," 6 September, 2020"
"Kesavananda Bharati, seer behind 1973 SC judgment on ‘basic structure’ of Constitution, dies","Bhadra Sinha - 6 September, 2020","In 1973, after a petition was filed by Kesavananda Bharati, Supreme Court ruled that Parliament cannot alter the 'basic structure' of the Constitution.",Bhadra Sinha ," 6 September, 2020"
4 ‘Bad Boy Billionaires’ & where to find them — What Netflix’s controversial show reveals,"Apoorva Mandhani - 6 September, 2020","The Netflix show, that was due to air 2 September, has been stayed after cases filed by different parties have tried to de-label some of these billionaires as bad boys.",Apoorva Mandhani ," 6 September, 2020"
‘Coordinated attempt to create confusion’ — full statement by NSCN(I-M) on Naga peace deal,"ThePrint Team - 6 September, 2020",NSCN(I-M) has alleged that media is reporting distorted and manipulated stories on the Naga issue targeting the rebel group and its chief Thuingaleng Muivah.,ThePrint Team ," 6 September, 2020"
NCB summons  Rhea Chakraborty to join probe in drugs case linked to Sushant Singh’s death,"PTI - 6 September, 2020","The agency, which served the notice at the actress's Mumbai home, has said that it wants to question her to take the probe forward in the case.",PTI ," 6 September, 2020"
