Headlines,Summaries,Author,Date,Day,Month,Year,Day_Of_Week,Result_Headline,Result_Summary,Positive_Headline,Neutral_Headline,Negative_Headline,Positive_Summary,Neutral_Summary,Negative_Summary,Result_Headline_negative,Result_Headline_neutral,Result_Headline_positive,Result_Summary_negative,Result_Summary_neutral,Result_Summary_positive
‘ instigated congress ’ — bjp say 2 % dislike modi mann ki baat video india,negative reaction mann ki baat video appeared driven protest govt decision ahead neet jee main amid covid-19 pandemic,Tarun Krishna ,8/31/2020,31,8,2020,0,negative,negative,0.01,0.3,0.69,0.0,0.0,1.0,1,0,0,1,0,0
ola uber strike delhi-ncr demand extension loan moratorium & fare hike,2 lakh driver working cab service given strike starting tuesday appeal led action government,PTI ,8/31/2020,31,8,2020,0,neutral,negative,0.0,0.77,0.23,0.01,0.39,0.6,0,1,0,1,0,0
kashmir teacher us scrap material educate poor kid selected national award,roohi sultana 47 educator selected prestigious national teacher award 2020. selected innovative teaching method,Unnati Sharma ,8/31/2020,31,8,2020,0,negative,neutral,0.03,0.23,0.74,0.0,1.0,0.0,1,0,0,0,1,0
pranab mukherjee like guide r say chief mohan bhagwat,joint statement r general secretary suresh bhaiyyaji joshi bhagwat said mukherjee believe political untouchability able administrator,PTI ,8/31/2020,31,8,2020,0,neutral,neutral,0.01,0.98,0.01,0.02,0.96,0.02,0,1,0,0,1,0
delhi court extends sharjeel imam ’ s police custody 3 day uapa case,investigator sought seven day police custody imam probe case lodged anti-terror law,PTI ,8/31/2020,31,8,2020,0,neutral,negative,0.0,0.98,0.02,0.0,0.11,0.89,0,1,0,1,0,0
10 state reject modi govt ’ s borrowing option gst compensation right,tamil nadu cm writes pm modi state finance minister virtual meeting prepare prolonged battle central govt gst compensation,Remya Nair ,8/31/2020,31,8,2020,0,negative,neutral,0.08,0.02,0.9,0.0,0.52,0.48,1,0,0,0,1,0
govt announces 7-day mourning following president pranab mukherjee ’ s death,mukherjee passed away army research referral hospital monday age 84. date time state funeral announced,PTI ,8/31/2020,31,8,2020,0,negative,neutral,0.0,0.04,0.96,0.01,0.85,0.14,1,0,0,0,1,0
state quota pg course govt doctor rural area mci rule sc,court said medical council india ( mci ) regulation barred reservation arbitrary unconstitutional,PTI ,8/31/2020,31,8,2020,0,neutral,neutral,0.0,0.98,0.02,0.07,0.6,0.33,0,1,0,0,1,0
infection soaring india new global epicentre coronavirus,current trajectory coronavirus infection india ’ s outbreak eclipse brazil ’ s week month,Ari Altstedter ,8/31/2020,31,8,2020,0,neutral,neutral,0.02,0.97,0.01,0.01,0.69,0.3,0,1,0,0,1,0
pranab mukherjee suffers septic shock condition deteriorates say hospital,84-year-old president continues deep coma ventilator support septic shock lung infection hospital said,PTI ,8/31/2020,31,8,2020,0,negative,negative,0.0,0.0,1.0,0.05,0.34,0.61,1,0,0,1,0,0
"india ’ s covid tally cross 36-lakh mark 78,512 new case day","7.8 lakh active case 27.7 lakh patient recovered death toll recorded 64,469 971 succumbing infection 24 hour",PTI ,8/31/2020,31,8,2020,0,neutral,negative,0.0,1.0,0.0,0.0,0.18,0.82,0,1,0,1,0,0
covid ‘ eye-opener ’ manipur doctor pandemic expose crack healthcare system,according manipur government ’ s covid sop severe case referred medical institute located imphal district hospital unable manage,Angana Chakrabarti ,8/31/2020,31,8,2020,0,negative,negative,0.02,0.39,0.59,0.0,0.02,0.98,1,0,0,1,0,0
amit shah discharged aiims receiving post-covid care,union home minister admitted aiims 18 august post-covid care following complaint fatigue body ache day discharge medanta,PTI ,8/31/2020,31,8,2020,0,positive,negative,0.88,0.11,0.01,0.08,0.36,0.56,0,0,1,1,0,0
trump ’ s attempt fix china sanction destined fail,western experience russia suggests washington effort force change behaviour unlikely succeed measure remain place year,Clara Ferreira Marques ,8/31/2020,31,8,2020,0,negative,neutral,0.0,0.0,1.0,0.13,0.8,0.07,1,0,0,0,1,0
ganga water fit dip aquatic life place lockdown iit study find,study cganga find river water place like haridwar kanpur & varanasi showed marked improvement key parameter overall quality need improvement,Moushumi Das Gupta ,8/31/2020,31,8,2020,0,neutral,neutral,0.01,0.98,0.01,0.44,0.56,0.0,0,1,0,0,1,0
water atm karnataka plan 24×7 rice atm ration card holder end queue,rice atm dispense fixed grain govt planning allow access machine smart card biometric system instead coin,Rohini Swamy ,8/31/2020,31,8,2020,0,neutral,neutral,0.0,1.0,0.0,0.04,0.96,0.0,0,1,0,0,1,0
k shankar bajpai india ’ s envoy china pakistan dy 92,ifs officer k shankar bajpai born family diplomat serving country went noted academic,Simrin Sirur ,8/30/2020,30,8,2020,6,negative,neutral,0.0,0.08,0.92,0.08,0.72,0.2,1,0,0,0,1,0
separate room covid-positive aspirant govt step smoothly pull neet-jee,govt going ahead neet-jee despite student ' concern national testing agency assured aspirant covid precaution place ensure safety,Kritika Sharma ,8/31/2020,31,8,2020,0,neutral,neutral,0.13,0.86,0.01,0.02,0.74,0.24,0,1,0,0,1,0
transport food financial aid — r draw plan help student appearing jee neet,sangh launched official campaign local unit mobilised set helplines arrange lodging transport distribute food packet student,Neelam Pandey ,8/31/2020,31,8,2020,0,neutral,neutral,0.04,0.96,0.0,0.0,1.0,0.0,0,1,0,0,1,0
delhi govt aggressively testing aim leave case untraced say satyendar jain,"jain said government sufficient stock covid testing kit 10-15 day procuring market meet target 40,000 test day",PTI ,8/31/2020,31,8,2020,0,neutral,neutral,0.0,0.98,0.02,0.03,0.73,0.24,0,1,0,0,1,0
nia arrest ‘ isi agent ’ gujarat — indian national helped pay pakistan ’ s operative,rajakbhai kumbhar wife pakistani national allegedly worked financier behalf isi transferred money operative india claim nia,Ananya Bhardwaj ,8/31/2020,31,8,2020,0,neutral,negative,0.34,0.6,0.06,0.02,0.34,0.64,0,1,0,1,0,0
state quota pg course govt doctor rural area mci rule sc,court said medical council india ( mci ) regulation barred reservation arbitrary unconstitutional,PTI ,8/31/2020,31,8,2020,0,neutral,neutral,0.0,0.98,0.02,0.07,0.6,0.33,0,1,0,0,1,0
infection soaring india new global epicentre coronavirus,current trajectory coronavirus infection india ’ s outbreak eclipse brazil ’ s week month,Ari Altstedter ,8/31/2020,31,8,2020,0,neutral,neutral,0.02,0.97,0.01,0.01,0.69,0.3,0,1,0,0,1,0
pranab mukherjee suffers septic shock condition deteriorates say hospital,84-year-old president continues deep coma ventilator support septic shock lung infection hospital said,PTI ,8/31/2020,31,8,2020,0,negative,negative,0.0,0.0,1.0,0.05,0.34,0.61,1,0,0,1,0,0
"india ’ s covid tally cross 36-lakh mark 78,512 new case day","7.8 lakh active case 27.7 lakh patient recovered death toll recorded 64,469 971 succumbing infection 24 hour",PTI ,8/31/2020,31,8,2020,0,neutral,negative,0.0,1.0,0.0,0.0,0.18,0.82,0,1,0,1,0,0
covid ‘ eye-opener ’ manipur doctor pandemic expose crack healthcare system,according manipur government ’ s covid sop severe case referred medical institute located imphal district hospital unable manage,Angana Chakrabarti ,8/31/2020,31,8,2020,0,negative,negative,0.02,0.39,0.59,0.0,0.02,0.98,1,0,0,1,0,0
amit shah discharged aiims receiving post-covid care,union home minister admitted aiims 18 august post-covid care following complaint fatigue body ache day discharge medanta,PTI ,8/31/2020,31,8,2020,0,positive,negative,0.88,0.11,0.01,0.08,0.36,0.56,0,0,1,1,0,0
vaishno devi shrine set deliver prasad speed post india,category prasad launched board profit loss basis booked website board telephonic mode,PTI ,8/30/2020,30,8,2020,6,neutral,neutral,0.01,0.99,0.0,0.0,0.82,0.18,0,1,0,0,1,0
1 dead 3 injured house collapse heavy rain madhya pradesh ’ s sehore,"following heavy shower part state day nearly 7,000 people far rescued 170 relief camp set",PTI ,8/30/2020,30,8,2020,6,negative,negative,0.0,0.0,1.0,0.07,0.12,0.81,1,0,0,1,0,0
army jco killed cross border firing loc jammu kashmir,firing border started soon army noticed suspicious movement loc nowshera sector defence source said,PTI ,8/30/2020,30,8,2020,6,negative,negative,0.0,0.02,0.98,0.0,0.01,0.99,1,0,0,1,0,0
bring home dog indian breed create indian game computer — pm modi mann ki baat,monthly radio address mann ki baat pm modi urged startup india toy world entrepreneur develop indian game computer & mobile,Neelam Pandey ,8/30/2020,30,8,2020,6,neutral,neutral,0.01,0.99,0.0,0.0,1.0,0.0,0,1,0,0,1,0
iit delhi appeal alumnus ‘ good samaritan ’ arrange transport jee advanced aspirant,facebook post iit delhi director v. ramgopal rao said institute soon start portal coordinate effort arrange transport jee aspirant,Kritika Sharma ,8/30/2020,30,8,2020,6,positive,neutral,0.79,0.21,0.0,0.01,0.99,0.0,0,0,1,0,1,0
"78,761 new case 24 hour india ’ s covid tally zoom past 35 lakh","total covid case rose 35,42,733 death toll climbed 63,498 948 people succumbing disease span 24 hour",PTI ,8/30/2020,30,8,2020,6,neutral,negative,0.01,0.99,0.0,0.0,0.03,0.97,0,1,0,1,0,0
‘ urban naxals ’ religious conversion dominate iit session tribals govt campaign,webinars organised unnat bharat abhiyan meant rural tribal development featured numerous speaker allegedly propounding r line,Rahul Sampal ,8/30/2020,30,8,2020,6,neutral,neutral,0.0,0.99,0.01,0.02,0.7,0.28,0,1,0,0,1,0
militant & assistant sub-inspector j & k police killed gunfight near srinagar,militant fired joint 'naka ' police central reserve police force pantha chowk area late saturday night police official said,PTI ,8/30/2020,30,8,2020,6,negative,negative,0.0,0.01,0.99,0.0,0.1,0.9,1,0,0,1,0,0
lt governor anil baijal allows jee & neet exam despite objection delhi government,delhi govt sent file baijal recommending holding exam safety student covid returned file giving permission hold exam source said,PTI ,8/30/2020,30,8,2020,6,neutral,neutral,0.02,0.95,0.03,0.16,0.77,0.07,0,1,0,0,1,0
"mumbai ’ s covid-hit dabbawalas want govt help resume local train offer r 3,000 aid",mumbai dabbawala association body representing city ’ s famous tiffin carrier planning approach uddhav thackeray govt demand,Manasi Phadke ,8/30/2020,30,8,2020,6,neutral,neutral,0.05,0.95,0.0,0.0,1.0,0.0,0,1,0,0,1,0
bring home dog indian breed create indian game computer — pm modi mann ki baat,monthly radio address mann ki baat pm modi urged startup india toy world entrepreneur develop indian game computer & mobile,Neelam Pandey ,8/30/2020,30,8,2020,6,neutral,neutral,0.01,0.99,0.0,0.0,1.0,0.0,0,1,0,0,1,0
iit delhi appeal alumnus ‘ good samaritan ’ arrange transport jee advanced aspirant,facebook post iit delhi director v. ramgopal rao said institute soon start portal coordinate effort arrange transport jee aspirant,Kritika Sharma ,8/30/2020,30,8,2020,6,positive,neutral,0.79,0.21,0.0,0.01,0.99,0.0,0,0,1,0,1,0
"78,761 new case 24 hour india ’ s covid tally zoom past 35 lakh","total covid case rose 35,42,733 death toll climbed 63,498 948 people succumbing disease span 24 hour",PTI ,8/30/2020,30,8,2020,6,neutral,negative,0.01,0.99,0.0,0.0,0.03,0.97,0,1,0,1,0,0
‘ urban naxals ’ religious conversion dominate iit session tribals govt campaign,webinars organised unnat bharat abhiyan meant rural tribal development featured numerous speaker allegedly propounding r line,Rahul Sampal ,8/30/2020,30,8,2020,6,neutral,neutral,0.0,0.99,0.01,0.02,0.7,0.28,0,1,0,0,1,0
militant & assistant sub-inspector j & k police killed gunfight near srinagar,militant fired joint 'naka ' police central reserve police force pantha chowk area late saturday night police official said,PTI ,8/30/2020,30,8,2020,6,negative,negative,0.0,0.01,0.99,0.0,0.1,0.9,1,0,0,1,0,0
lt governor anil baijal allows jee & neet exam despite objection delhi government,delhi govt sent file baijal recommending holding exam safety student covid returned file giving permission hold exam source said,PTI ,8/30/2020,30,8,2020,6,neutral,neutral,0.02,0.95,0.03,0.16,0.77,0.07,0,1,0,0,1,0
"mumbai ’ s covid-hit dabbawalas want govt help resume local train offer r 3,000 aid",mumbai dabbawala association body representing city ’ s famous tiffin carrier planning approach uddhav thackeray govt demand,Manasi Phadke ,8/30/2020,30,8,2020,6,neutral,neutral,0.05,0.95,0.0,0.0,1.0,0.0,0,1,0,0,1,0
ftii alumna catdog indian film cannes 2020 unsure future,"ashmita guha neogi short film catdog chosen 1,900 submission cinéfondation selection cannes physical edition year covid",Revathi Krishnan ,8/30/2020,30,8,2020,6,neutral,neutral,0.04,0.94,0.02,0.0,1.0,0.0,0,1,0,0,1,0
tribal affair ministry touch local administration covid hit great andamanese tribe,10 member great andamanese tribe 59 surviving member life strait island archipelago recently tested positive covid,PTI ,8/29/2020,29,8,2020,5,positive,positive,0.96,0.04,0.0,0.97,0.03,0.0,0,0,1,0,0,1
unlock 4 brings metro school college cinema hall stay shut,mha saturday released guideline fourth phase unlock come effect 1 september tuesday,Ananya Bhardwaj ,8/29/2020,29,8,2020,5,neutral,neutral,0.01,0.98,0.01,0.0,1.0,0.0,0,1,0,0,1,0
congress writes mark zuckerberg allegation facebook ’ s bias bjp,letter congress came time magazine article opposition party claimed revealed information facebook india relationship bjp,PTI ,8/29/2020,29,8,2020,5,negative,negative,0.0,0.08,0.92,0.01,0.25,0.74,1,0,0,1,0,0
‘ chunauti ’ r 95-cr govt plan boost tech start-ups atmanirbhar bharat,ministry launched start-up challenge 300 project selected provided r 25 lakh seed funding,Regina Mihindukulasuriya ,8/29/2020,29,8,2020,5,neutral,neutral,0.48,0.51,0.01,0.0,1.0,0.0,0,1,0,0,1,0
meghalaya see 877 newborn 61 pregnant woman die 4 month lack medical care,newborn death lack medical attention care pneumonia birth asphyxia director health service aman war said,PTI ,8/29/2020,29,8,2020,5,negative,negative,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,0,0
pranab mukherjee ’ s renal parameter improved deep coma say hospital,doctor said president blood pressure heart pulse rate stable normal continues treated lung infection,PTI ,8/29/2020,29,8,2020,5,positive,positive,0.65,0.21,0.14,0.67,0.27,0.06,0,0,1,0,0,1
iimc asked revisit admission criterion based mark supreme court ruling,& b secretary amit khare say iimc asked revisit admission norm sc ruling said state ’ t promote final-year student holding exam ordered ugc,Tarun Krishna ,8/29/2020,29,8,2020,5,neutral,neutral,0.12,0.7,0.18,0.06,0.88,0.06,0,1,0,0,1,0
manipur ’ s kuki rebel demand bodoland-like territorial council unhappy delay talk,kuki rebel group wary central govt ’ s talk nscn ( i-m ) delay talk covid-19 pandemic label ‘ procrastination ’,Karishma Hasnat ,8/29/2020,29,8,2020,5,negative,negative,0.01,0.09,0.9,0.01,0.14,0.85,1,0,0,1,0,0
health data centre rental housing migrant — mumbai recover covid hit,panel 25 expert recommendation including introducing tv radio podcasts digital education revamping way slum developed,Manasi Phadke ,8/29/2020,29,8,2020,5,neutral,neutral,0.0,0.99,0.01,0.01,0.98,0.01,0,1,0,0,1,0
12 killed odisha rain flood mahanadi 4 lakh affected,"3.83 lakh people 552 village marooned 2,757 house damaged 18,534 people evacuated official said",PTI ,8/29/2020,29,8,2020,5,negative,negative,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,0,0
mp tested 72 hour monsoon session say lok sabha speaker,speaker om birla said arrangement zero-touch security check session random test covid-19 conducted session,PTI ,8/29/2020,29,8,2020,5,neutral,negative,0.0,1.0,0.0,0.17,0.39,0.44,0,1,0,1,0,0
‘ vagina ’ search bhojpuri wikipedia bringing vulgar song scanner,theprint speaks expert recent analysis revealed ‘ vagina ’ search bhojpuri wikipedia analysis come amid worry increasingly vulgar content bhojpuri song,Jyoti Yadav ,8/29/2020,29,8,2020,5,negative,negative,0.0,0.02,0.98,0.0,0.02,0.98,1,0,0,1,0,0
shashi tharoor-led parliamentary panel drop issue j & k internet suspension agenda,lok sabha speaker said parliamentary panel sub judice matter bjp mp complained panel taking matter settled court,PTI ,8/29/2020,29,8,2020,5,neutral,negative,0.01,0.84,0.15,0.0,0.02,0.98,0,1,0,1,0,0
punjab police arrest father-son duo running ‘ pharma drug cartel ’ india,police duo biggest manufacturer & supplier different type pharmaceutical opioids controlling 70 % total illegal drug trade,PTI ,8/29/2020,29,8,2020,5,negative,negative,0.01,0.33,0.66,0.0,0.08,0.92,1,0,0,1,0,0
3 militant 1 soldier killed gun battle jammu kashmir ’ s pulwama,security force conducting search operation zadoora area pulwama district friday night militant fired official said,PTI ,8/29/2020,29,8,2020,5,negative,negative,0.0,0.0,1.0,0.0,0.01,0.99,1,0,0,1,0,0
2 congress mlas test covid positive 1-day punjab assembly session cm quarantine,congress mlas nirmal singh kulbir singh zira tested positive coronavirus session 61 legislator present,PTI ,8/29/2020,29,8,2020,5,neutral,neutral,0.02,0.98,0.0,0.28,0.72,0.0,0,1,0,0,1,0
govt initiate plan iits indian institute open campus abroad,iit delhi director v. ramgopal rao say ministry education written asking interested taking plan,Kritika Sharma ,8/29/2020,29,8,2020,5,neutral,neutral,0.01,0.99,0.0,0.08,0.91,0.01,0,1,0,0,1,0
lockdown seen leading 1 million unsafe abortion india marie stopes say,"marie stopes global non-profit woman estimated disrupted service result 20 lakh additional unsafe abortion 6.5 lakh unintended pregnancy & 2,600 maternal death",Bhuma Shrivastava ,8/28/2020,28,8,2020,4,negative,negative,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,0,0
muharram restriction kashmir edge 200 detained clash police break,covid-19 heightened scrutiny muharram procession subject restriction advent militancy 1989,Azaan Javaid ,8/28/2020,28,8,2020,4,neutral,neutral,0.02,0.58,0.4,0.0,0.97,0.03,0,1,0,0,1,0
need effective sensitive security architecture say pm modi,pm modi message 50th raising day bureau police research development focussed need 'citizen-centric ' 'citizen-friendly ' approach indian police,PTI ,8/28/2020,28,8,2020,4,positive,neutral,0.82,0.07,0.11,0.25,0.7,0.05,0,0,1,0,1,0
militant surrender 4 killed encounter security force j & k ’ s shopian,srinagar-based defence spokesperson col rajesh kalia said ak-47 rifle pistol recovered encounter site kiloora area shopian district,PTI ,8/28/2020,28,8,2020,4,negative,neutral,0.0,0.0,1.0,0.0,0.97,0.03,1,0,0,0,1,0
bengal covid test lower india ’ s average bihar assam & odisha testing,"19,073 test million population bengal lowest neighbour govt say testing doubled month expert cite lack robust infrastructure",Madhuparna Das ,8/28/2020,28,8,2020,4,neutral,negative,0.0,0.99,0.01,0.01,0.07,0.92,0,1,0,1,0,0
manipur ’ s kuki rebel demand bodoland-like territorial council unhappy delay talk,kuki rebel group wary central govt ’ s talk nscn ( i-m ) delay talk covid-19 pandemic label ‘ procrastination ’,Karishma Hasnat ,8/29/2020,29,8,2020,5,negative,negative,0.01,0.09,0.9,0.01,0.14,0.85,1,0,0,1,0,0
health data centre rental housing migrant — mumbai recover covid hit,panel 25 expert recommendation including introducing tv radio podcasts digital education revamping way slum developed,Manasi Phadke ,8/29/2020,29,8,2020,5,neutral,neutral,0.0,0.99,0.01,0.01,0.98,0.01,0,1,0,0,1,0
12 killed odisha rain flood mahanadi 4 lakh affected,"3.83 lakh people 552 village marooned 2,757 house damaged 18,534 people evacuated official said",PTI ,8/29/2020,29,8,2020,5,negative,negative,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,0,0
mp tested 72 hour monsoon session say lok sabha speaker,speaker om birla said arrangement zero-touch security check session random test covid-19 conducted session,PTI ,8/29/2020,29,8,2020,5,neutral,negative,0.0,1.0,0.0,0.17,0.39,0.44,0,1,0,1,0,0
‘ vagina ’ search bhojpuri wikipedia bringing vulgar song scanner,theprint speaks expert recent analysis revealed ‘ vagina ’ search bhojpuri wikipedia analysis come amid worry increasingly vulgar content bhojpuri song,Jyoti Yadav ,8/29/2020,29,8,2020,5,negative,negative,0.0,0.02,0.98,0.0,0.02,0.98,1,0,0,1,0,0
shashi tharoor-led parliamentary panel drop issue j & k internet suspension agenda,lok sabha speaker said parliamentary panel sub judice matter bjp mp complained panel taking matter settled court,PTI ,8/29/2020,29,8,2020,5,neutral,negative,0.01,0.84,0.15,0.0,0.02,0.98,0,1,0,1,0,0
punjab police arrest father-son duo running ‘ pharma drug cartel ’ india,police duo biggest manufacturer & supplier different type pharmaceutical opioids controlling 70 % total illegal drug trade,PTI ,8/29/2020,29,8,2020,5,negative,negative,0.01,0.33,0.66,0.0,0.08,0.92,1,0,0,1,0,0
3 militant 1 soldier killed gun battle jammu kashmir ’ s pulwama,security force conducting search operation zadoora area pulwama district friday night militant fired official said,PTI ,8/29/2020,29,8,2020,5,negative,negative,0.0,0.0,1.0,0.0,0.01,0.99,1,0,0,1,0,0
2 congress mlas test covid positive 1-day punjab assembly session cm quarantine,congress mlas nirmal singh kulbir singh zira tested positive coronavirus session 61 legislator present,PTI ,8/29/2020,29,8,2020,5,neutral,neutral,0.02,0.98,0.0,0.28,0.72,0.0,0,1,0,0,1,0
govt initiate plan iits indian institute open campus abroad,iit delhi director v. ramgopal rao say ministry education written asking interested taking plan,Kritika Sharma ,8/29/2020,29,8,2020,5,neutral,neutral,0.01,0.99,0.0,0.08,0.91,0.01,0,1,0,0,1,0
lockdown seen leading 1 million unsafe abortion india marie stopes say,"marie stopes global non-profit woman estimated disrupted service result 20 lakh additional unsafe abortion 6.5 lakh unintended pregnancy & 2,600 maternal death",Bhuma Shrivastava ,8/28/2020,28,8,2020,4,negative,negative,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,0,0
muharram restriction kashmir edge 200 detained clash police break,covid-19 heightened scrutiny muharram procession subject restriction advent militancy 1989,Azaan Javaid ,8/28/2020,28,8,2020,4,neutral,neutral,0.02,0.58,0.4,0.0,0.97,0.03,0,1,0,0,1,0
need effective sensitive security architecture say pm modi,pm modi message 50th raising day bureau police research development focussed need 'citizen-centric ' 'citizen-friendly ' approach indian police,PTI ,8/28/2020,28,8,2020,4,positive,neutral,0.82,0.07,0.11,0.25,0.7,0.05,0,0,1,0,1,0
militant surrender 4 killed encounter security force j & k ’ s shopian,srinagar-based defence spokesperson col rajesh kalia said ak-47 rifle pistol recovered encounter site kiloora area shopian district,PTI ,8/28/2020,28,8,2020,4,negative,neutral,0.0,0.0,1.0,0.0,0.97,0.03,1,0,0,0,1,0
bengal covid test lower india ’ s average bihar assam & odisha testing,"19,073 test million population bengal lowest neighbour govt say testing doubled month expert cite lack robust infrastructure",Madhuparna Das ,8/28/2020,28,8,2020,4,neutral,negative,0.0,0.99,0.01,0.01,0.07,0.92,0,1,0,1,0,0
watchdog pci slam ‘ medium trial ’ sushant singh rajput case say don ’ t publish gossip,advisory issued friday print medium watchdog pci urged giving excessive publicity victim witness suspect accused amount 'invasion privacy right ',Amrita Nayak Dutta ,8/28/2020,28,8,2020,4,negative,negative,0.01,0.47,0.52,0.0,0.03,0.97,1,0,0,1,0,0
bjp showed dream corruption-free india claim hollow asks anna hazare,anna hazare responds delhi bjp chief ’ s letter asking agitation ‘ corrupt ’ aap govt asking central govt power 6 year acted,Neelam Pandey ,8/28/2020,28,8,2020,4,neutral,negative,0.29,0.57,0.14,0.0,0.03,0.97,0,1,0,1,0,0
ex-nia officer procured record ‘ insistence ’ neighbour ’ s wife booked,cbi investigating ex-nia officer jalaj srivastava helping neighbour irs officer sansar chand wife avinash kaur probed corruption case,PTI ,8/28/2020,28,8,2020,4,neutral,negative,0.0,0.99,0.01,0.09,0.42,0.49,0,1,0,1,0,0
congress see ‘ bjp angle ’ sushant death claim modi biopic producer face questioning,maharashtra congress spokesperson sachin sawant say cm & state home minister probe ‘ nexus bollywood drug bjp ’,PTI ,8/28/2020,28,8,2020,4,negative,neutral,0.0,0.01,0.99,0.0,1.0,0.0,1,0,0,0,1,0
seating order monsoon session based health ministry guideline say l speaker,lok sabha speaker om birla chaired meeting friday arrangement upcoming monsoon session said comprehensive arrangement,PTI ,8/28/2020,28,8,2020,4,neutral,neutral,0.0,1.0,0.0,0.01,0.98,0.01,0,1,0,0,1,0
rahul say modi govt listen neet jee aspirant shouldn ’ t force decision,video message congress leader rahul gandhi said modi govt decision holding neet-jee conversation held consensus reached,Bismee Taskin ,8/28/2020,28,8,2020,4,neutral,neutral,0.04,0.91,0.05,0.02,0.96,0.02,0,1,0,0,1,0
"‘ grotesque assault india ’ — 1,700 citizen demand fir suresh chavhanke",petition sent seven chief minister friday signed well-known personality like anurag kashyap sagarika ghose aakar patel,Fatima Khan ,8/28/2020,28,8,2020,4,neutral,neutral,0.0,0.53,0.47,0.01,0.98,0.01,0,1,0,0,1,0
